1.0.1.0,1.0.3.255,福建,福州,,
1.0.8.0,1.0.15.255,广东,广东其它,,
1.0.32.0,1.0.63.255,广东,广州,,
1.1.0.0,1.1.0.255,福建,福州,,
1.1.8.0,1.1.63.255,广东,广东其它,,
1.2.0.0,1.2.1.255,福建,福建其它,,
1.2.4.0,1.2.7.255,福建,福建其它,,
1.2.8.0,1.2.127.255,广东,广东其它,,
1.3.0.0,1.3.255.255,广东,广州,,
1.4.1.0,1.4.3.255,福建,福建其它,,
1.4.4.0,1.4.4.255,北京,,,
1.4.5.0,1.4.7.255,福建,福建其它,,
1.4.8.0,1.4.127.255,广东,广东其它,,
1.8.0.0,1.8.255.255,福建,福建其它,,
1.10.0.0,1.10.9.255,福建,福建其它,,
1.10.11.0,1.10.15.255,福建,福建其它,,
1.10.16.0,1.10.127.255,广东,广州,,
1.12.0.0,1.15.255.255,北京,,,
1.24.0.0,1.24.7.255,内蒙古,包头,,
1.24.8.0,1.24.15.255,内蒙古,锡林郭勒,,
1.24.16.0,1.24.23.255,内蒙古,包头,,
1.24.24.0,1.24.31.255,内蒙古,鄂尔多斯,,
1.24.32.0,1.24.39.255,内蒙古,乌兰察布,,
1.24.40.0,1.24.63.255,内蒙古,锡林郭勒,,
1.24.64.0,1.24.79.255,内蒙古,阿拉善,,
1.24.80.0,1.24.95.255,内蒙古,乌兰察布,,
1.24.96.0,1.24.127.255,内蒙古,巴彦淖尔,,
1.24.128.0,1.24.135.255,内蒙古,包头,,
1.24.136.0,1.24.147.255,内蒙古,鄂尔多斯,,
1.24.148.0,1.24.159.255,内蒙古,乌海,,
1.24.160.0,1.24.167.255,内蒙古,包头,,
1.24.168.0,1.24.175.255,内蒙古,锡林郭勒,,
1.24.176.0,1.24.183.255,内蒙古,阿拉善,,
1.24.184.0,1.24.187.255,内蒙古,乌海,,
1.24.188.0,1.24.191.255,内蒙古,包头,,
1.24.192.0,1.24.199.255,内蒙古,乌兰察布,,
1.24.200.0,1.24.215.255,内蒙古,呼和浩特,,
1.24.216.0,1.24.219.255,内蒙古,乌兰察布,,
1.24.220.0,1.24.235.255,内蒙古,包头,,
1.24.236.0,1.24.239.255,内蒙古,乌兰察布,,
1.24.240.0,1.24.243.255,内蒙古,呼和浩特,,
1.24.244.0,1.24.247.255,内蒙古,乌海,,
1.24.248.0,1.24.255.255,内蒙古,锡林郭勒,,
1.25.0.0,1.25.7.255,内蒙古,乌兰察布,,
1.25.8.0,1.25.15.255,内蒙古,呼和浩特,,
1.25.16.0,1.25.23.255,内蒙古,乌海,,
1.25.24.0,1.25.47.255,内蒙古,乌兰察布,,
1.25.48.0,1.25.71.255,内蒙古,包头,,
1.25.72.0,1.25.91.255,内蒙古,锡林郭勒,,
1.25.92.0,1.25.95.255,内蒙古,乌兰察布,,
1.25.96.0,1.25.111.255,内蒙古,呼和浩特,,
1.25.112.0,1.25.119.255,内蒙古,锡林郭勒,,
1.25.120.0,1.25.127.255,内蒙古,包头,,
1.25.128.0,1.25.135.255,内蒙古,乌兰察布,,
1.25.136.0,1.25.151.255,内蒙古,呼和浩特,,
1.25.152.0,1.25.199.255,内蒙古,锡林郭勒,,
1.25.200.0,1.25.227.255,内蒙古,包头,,
1.25.228.0,1.25.255.255,内蒙古,巴彦淖尔,,
1.26.0.0,1.26.31.255,内蒙古,呼伦贝尔,,
1.26.32.0,1.26.143.255,内蒙古,赤峰,,
1.26.144.0,1.26.147.255,内蒙古,呼伦贝尔,,
1.26.148.0,1.26.159.255,内蒙古,兴安,,
1.26.160.0,1.26.163.255,内蒙古,通辽,,
1.26.164.0,1.26.167.255,内蒙古,赤峰,,
1.26.168.0,1.26.179.255,内蒙古,兴安,,
1.26.180.0,1.26.195.255,内蒙古,赤峰,,
1.26.196.0,1.26.207.255,内蒙古,呼伦贝尔,,
1.26.208.0,1.26.211.255,内蒙古,兴安,,
1.26.212.0,1.26.215.255,内蒙古,赤峰,,
1.26.216.0,1.26.219.255,内蒙古,呼伦贝尔,,
1.26.220.0,1.26.243.255,内蒙古,通辽,,
1.26.244.0,1.26.255.255,内蒙古,呼伦贝尔,,
1.27.0.0,1.27.15.255,内蒙古,通辽,,
1.27.16.0,1.27.31.255,内蒙古,呼伦贝尔,,
1.27.32.0,1.27.63.255,内蒙古,赤峰,,
1.27.64.0,1.27.87.255,内蒙古,呼伦贝尔,,
1.27.88.0,1.27.111.255,内蒙古,赤峰,,
1.27.112.0,1.27.147.255,内蒙古,通辽,,
1.27.148.0,1.27.151.255,内蒙古,呼伦贝尔,,
1.27.152.0,1.27.159.255,内蒙古,乌兰察布,,
1.27.160.0,1.27.175.255,内蒙古,兴安,,
1.27.176.0,1.27.211.255,内蒙古,赤峰,,
1.27.212.0,1.27.227.255,内蒙古,呼伦贝尔,,
1.27.228.0,1.27.235.255,内蒙古,赤峰,,
1.27.236.0,1.27.239.255,内蒙古,呼伦贝尔,,
1.27.240.0,1.27.243.255,内蒙古,通辽,,
1.27.244.0,1.27.247.255,内蒙古,包头,,
1.27.248.0,1.27.251.255,内蒙古,兴安,,
1.27.252.0,1.28.15.255,内蒙古,包头,,
1.28.16.0,1.28.31.255,内蒙古,乌兰察布,,
1.28.32.0,1.28.63.255,内蒙古,呼和浩特,,
1.28.64.0,1.28.71.255,内蒙古,包头,,
1.28.72.0,1.28.75.255,内蒙古,通辽,,
1.28.76.0,1.28.79.255,内蒙古,包头,,
1.28.80.0,1.28.87.255,内蒙古,乌海,,
1.28.88.0,1.28.111.255,内蒙古,呼和浩特,,
1.28.112.0,1.28.124.255,内蒙古,包头,,
1.28.125.0,1.28.131.255,内蒙古,内蒙古其它,,
1.28.132.0,1.28.135.255,内蒙古,呼和浩特,,
1.28.136.0,1.28.139.255,内蒙古,包头,,
1.28.140.0,1.28.143.255,内蒙古,乌兰察布,,
1.28.144.0,1.28.151.255,内蒙古,包头,,
1.28.152.0,1.28.155.255,内蒙古,乌海,,
1.28.156.0,1.28.159.255,内蒙古,乌兰察布,,
1.28.160.0,1.28.167.255,内蒙古,乌海,,
1.28.168.0,1.28.179.255,内蒙古,包头,,
1.28.180.0,1.28.183.255,内蒙古,呼和浩特,,
1.28.184.0,1.28.243.255,内蒙古,包头,,
1.28.244.0,1.28.247.255,内蒙古,乌海,,
