0.0.0.0,0.255.255.255,OT,,,
1.0.0.0,1.0.0.255,AU,,,
1.0.4.0,1.0.7.255,AU,,,
1.0.16.0,1.0.31.255,JP,,,
1.0.64.0,1.0.127.255,JP,,,
1.0.128.0,1.0.255.255,TH,,,
1.1.1.0,1.1.1.255,OT,,,
1.1.2.0,1.1.7.255,CN,,,
1.1.64.0,1.1.127.255,JP,,,
1.1.128.0,1.1.255.255,TH,,,
1.2.2.0,1.2.2.255,CN,,,
1.2.3.0,1.2.3.255,AU,,,
1.2.128.0,1.2.255.255,TH,,,
1.4.0.0,1.4.0.255,AU,,,
1.4.128.0,1.4.255.255,TH,,,
1.5.0.0,1.5.255.255,JP,,,
1.6.0.0,1.7.255.255,IN,,,
1.9.0.0,1.9.255.255,MY,,,
1.10.10.0,1.10.10.255,AU,,,
1.10.128.0,1.10.255.255,TH,,,
1.11.0.0,1.11.255.255,KR,,,
1.16.0.0,1.19.255.255,KR,,,
1.20.0.0,1.20.255.255,TH,,,
1.21.0.0,1.21.255.255,JP,,,
1.22.0.0,1.23.255.255,IN,,,
1.33.0.0,1.33.255.255,JP,,,
1.37.0.0,1.37.255.255,PH,,,
1.38.0.0,1.39.255.255,IN,,,
1.40.0.0,1.44.255.255,AU,,,
1.46.0.0,1.47.255.255,TH,,,
1.52.0.0,1.55.255.255,VN,,,
1.66.0.0,1.67.255.255,JP,,,
1.72.0.0,1.79.255.255,JP,,,
1.96.0.0,1.111.255.255,KR,,,
1.112.0.0,1.115.255.255,JP,,,
1.116.0.0,1.119.255.255,CN,,,
1.120.0.0,1.159.255.255,AU,,,
1.176.0.0,1.177.255.255,KR,,,
1.178.0.0,1.179.127.255,AU,,,
1.179.128.0,1.179.255.255,TH,,,
1.186.0.0,1.187.255.255,IN,,,
1.201.0.0,1.201.255.255,OT,,,
1.208.0.0,1.255.255.255,KR,,,
2.0.0.0,2.15.255.255,FR,,,
2.16.0.0,2.16.67.255,DE,,,
2.16.68.0,2.16.69.255,SE,,,
2.16.70.0,2.16.71.255,IT,,,
2.16.72.0,2.16.177.255,DE,,,
2.16.178.0,2.16.179.255,GR,,,
2.16.180.0,2.16.219.255,DE,,,
2.16.220.0,2.16.223.255,GR,,,
2.16.224.0,2.18.79.255,DE,,,
2.18.80.0,2.18.95.255,GR,,,
2.18.96.0,2.19.15.255,DE,,,
2.19.16.0,2.19.31.255,IT,,,
2.19.32.0,2.20.3.255,DE,,,
2.20.4.0,2.20.7.255,IT,,,
2.20.8.0,2.20.178.255,DE,,,
2.20.179.0,2.20.179.255,ES,,,
2.20.180.0,2.20.181.255,DE,,,
2.20.182.0,2.20.182.255,AT,,,
2.20.183.0,2.20.183.255,GB,,,
2.20.184.0,2.20.184.255,DE,,,
2.20.185.0,2.20.185.255,ES,,,
2.20.186.0,2.21.31.255,DE,,,
2.21.32.0,2.21.63.255,FR,,,
2.21.64.0,2.21.85.255,DE,,,
2.21.86.0,2.21.87.255,SE,,,
2.21.88.0,2.21.93.255,AT,,,
2.21.94.0,2.21.95.255,NL,,,
2.21.96.0,2.21.111.255,AT,,,
2.21.112.0,2.21.127.255,NL,,,
2.21.128.0,2.21.239.255,DE,,,
2.21.240.0,2.21.243.255,NL,,,
2.21.244.0,2.21.245.255,FR,,,
2.21.246.0,2.21.246.255,AT,,,
2.21.247.0,2.21.247.255,DE,,,
2.21.248.0,2.21.253.255,FR,,,
2.21.254.0,2.21.254.255,DE,,,
2.21.255.0,2.21.255.255,NL,,,
2.22.0.0,2.22.11.255,DE,,,
2.22.12.0,2.22.15.255,GB,,,
2.22.16.0,2.22.19.255,SE,,,
2.22.20.0,2.22.23.255,FR,,,
2.22.24.0,2.22.47.255,DE,,,
2.22.48.0,2.22.49.255,FR,,,
2.22.50.0,2.22.55.255,DE,,,
2.22.56.0,2.22.59.255,FR,,,
2.22.60.0,2.22.95.255,DE,,,
2.22.96.0,2.22.159.255,GB,,,
2.22.160.0,2.22.225.255,FR,,,
2.22.226.0,2.22.227.255,SE,,,
2.22.228.0,2.22.229.255,DE,,,
2.22.230.0,2.22.230.255,ES,,,
2.22.231.0,2.22.231.255,DE,,,
2.22.232.0,2.22.232.255,GB,,,
2.22.233.0,2.22.233.255,NL,,,
2.22.234.0,2.22.245.255,DE,,,
2.22.246.0,2.22.247.255,GB,,,
2.22.248.0,2.22.251.255,DE,,,
2.22.252.0,2.22.253.255,GB,,,
2.22.254.0,2.22.255.255,FR,,,
2.23.0.0,2.23.31.255,DE,,,
2.23.32.0,2.23.47.255,SE,,,
2.23.48.0,2.23.111.255,DE,,,
2.23.112.0,2.23.127.255,GR,,,
2.23.128.0,2.23.255.255,DE,,,
2.24.0.0,2.31.255.255,GB,,,
2.32.0.0,2.47.255.255,IT,,,
2.48.0.0,2.51.255.255,AE,,,
2.52.0.0,2.55.255.255,IL,,,
2.56.0.0,2.56.159.255,UA,,,
2.56.160.0,2.56.171.255,CZ,,,
2.56.172.0,2.56.255.255,UA,,,
2.57.0.0,2.57.31.255,RU,,,
2.57.32.0,2.57.255.255,UA,,,
2.58.0.0,2.58.255.255,RU,,,
2.59.0.0,2.59.255.255,UA,,,
2.60.0.0,2.63.255.255,RU,,,
2.64.0.0,2.71.255.255,SE,,,
2.72.0.0,2.79.255.255,KZ,,,
2.80.0.0,2.83.255.255,PT,,,
2.84.0.0,2.87.255.255,GR,,,
2.88.0.0,2.91.255.255,SA,,,
2.92.0.0,2.95.255.255,RU,,,
2.96.0.0,2.103.255.255,GB,,,
2.104.0.0,2.111.255.255,DK,,,
2.112.0.0,2.119.255.255,IT,,,
2.120.0.0,2.127.255.255,GB,,,
2.128.0.0,2.131.255.255,DK,,,
2.132.0.0,2.135.255.255,KZ,,,
2.136.0.0,2.143.255.255,ES,,,
2.144.0.0,2.147.255.255,IR,,,
2.148.0.0,2.151.255.255,NO,,,
2.152.0.0,2.155.255.255,ES,,,
2.156.0.0,2.159.255.255,IT,,,
2.160.0.0,2.175.255.255,DE,,,
2.176.0.0,2.191.255.255,IR,,,
2.192.0.0,2.199.255.255,IT,,,
2.200.0.0,2.215.255.255,DE,,,
2.216.0.0,2.223.255.255,GB,,,
2.224.0.0,2.239.255.255,IT,,,
2.240.0.0,2.247.255.255,DE,,,
2.248.0.0,2.255.255.255,SE,,,
3.0.0.0,4.17.135.31,OT,,,
4.17.135.32,4.17.135.63,CA,,,
4.17.135.64,4.18.65.255,US,,,
4.18.66.0,4.18.67.255,MX,,,
4.18.68.0,4.37.0.255,US,,,
4.37.1.0,4.37.1.255,CA,,,
4.37.2.0,4.79.65.159,US,,,
4.79.65.160,4.79.65.191,CA,,,
4.79.65.192,4.79.244.223,US,,,
4.79.244.224,4.79.244.255,CA,,,
4.79.245.0,4.255.255.255,US,,,
5.0.0.0,5.0.255.255,SY,,,
5.1.0.0,5.1.31.255,UA,,,
5.1.32.0,5.1.39.255,ES,,,
5.1.40.0,5.1.47.255,CY,,,
5.1.48.0,5.1.55.255,RU,,,
5.1.56.0,5.1.63.255,CZ,,,
5.1.64.0,5.1.95.255,DE,,,
5.1.96.0,5.1.103.255,CH,,,
5.1.104.0,5.1.111.255,IQ,,,
5.1.112.0,5.1.119.255,CH,,,
5.1.120.0,5.1.255.255,DE,,,
5.2.0.0,5.2.15.255,IT,,,
5.2.16.0,5.2.23.255,GB,,,
5.2.24.0,5.2.31.255,ES,,,
5.2.32.0,5.2.63.255,RU,,,
5.2.64.0,5.2.79.255,OT,,,
5.2.80.0,5.2.87.255,TR,,,
5.2.88.0,5.2.95.255,ES,,,
5.2.96.0,5.2.127.255,GB,,,
5.2.128.0,5.2.255.255,RO,,,
5.3.0.0,5.3.255.255,RU,,,
5.4.0.0,5.7.255.255,DE,,,
5.8.0.0,5.8.127.255,RU,,,
5.8.128.0,5.8.159.255,LB,,,
5.8.160.0,5.8.183.255,RU,,,
5.8.184.0,5.8.191.255,ES,,,
5.8.192.0,5.8.239.255,RU,,,
5.8.240.0,5.8.247.255,IQ,,,
5.8.248.0,5.8.255.255,HU,,,
5.9.0.0,5.10.15.255,OT,,,
5.10.16.0,5.10.31.255,GB,,,
5.10.32.0,5.10.39.255,GE,,,
5.10.40.0,5.10.63.255,DE,,,
5.10.64.0,5.10.127.255,NL,,,
5.10.128.0,5.10.135.255,FR,,,
5.10.136.0,5.10.159.255,GB,,,
5.10.160.0,5.10.191.255,DE,,,
5.10.192.0,5.10.199.255,NL,,,
5.10.200.0,5.10.207.255,ES,,,
5.10.208.0,5.10.231.255,DE,,,
5.10.232.0,5.10.239.255,GB,,,
5.10.240.0,5.10.255.255,AZ,,,
5.11.0.0,5.11.7.255,AT,,,
5.11.8.0,5.11.31.255,OT,,,
5.11.32.0,5.11.39.255,IT,,,
5.11.40.0,5.11.47.255,PS,,,
5.11.48.0,5.11.55.255,DE,,,
5.11.56.0,5.11.63.255,GR,,,
5.11.64.0,5.11.79.255,RU,,,
5.11.80.0,5.11.95.255,GB,,,
5.11.96.0,5.11.127.255,IT,,,
5.11.128.0,5.11.255.255,TR,,,
5.12.0.0,5.15.255.255,RO,,,
5.16.0.0,5.19.255.255,RU,,,
5.20.0.0,5.20.255.255,LT,,,
5.21.0.0,5.21.255.255,OM,,,
5.22.0.0,5.22.127.255,IR,,,
5.22.128.0,5.22.135.255,IL,,,
5.22.136.0,5.22.143.255,GB,,,
5.22.144.0,5.22.151.255,DE,,,
5.22.152.0,5.22.159.255,CZ,,,
5.22.160.0,5.22.191.255,RS,,,
5.22.192.0,5.22.223.255,IR,,,
5.22.224.0,5.22.231.255,GB,,,
5.22.232.0,5.22.239.255,SE,,,
5.22.240.0,5.22.247.255,DE,,,
5.22.248.0,5.22.255.255,NL,,,
5.23.0.0,5.23.31.255,DE,,,
5.23.32.0,5.23.39.255,IT,,,
5.23.40.0,5.23.47.255,FR,,,
5.23.48.0,5.23.55.255,RU,,,
5.23.56.0,5.23.63.255,FI,,,
5.23.64.0,5.23.95.255,CH,,,
5.23.96.0,5.23.111.255,RU,,,
5.23.112.0,5.23.119.255,IR,,,
5.23.120.0,5.23.127.255,TR,,,
5.23.128.0,5.23.255.255,BE,,,
5.24.0.0,5.27.255.255,TR,,,
5.28.0.0,5.28.7.255,HU,,,
5.28.8.0,5.28.15.255,IT,,,
5.28.16.0,5.28.31.255,RU,,,
5.28.32.0,5.28.39.255,IR,,,
5.28.40.0,5.28.47.255,DE,,,
5.28.48.0,5.28.63.255,GB,,,
5.28.64.0,5.28.127.255,DE,,,
5.28.128.0,5.28.191.255,IL,,,
5.28.192.0,5.28.255.255,DE,,,
5.29.0.0,5.29.255.255,IL,,,
5.30.0.0,5.32.127.255,AE,,,
5.32.128.0,5.32.135.255,BG,,,
5.32.136.0,5.32.143.255,SI,,,
5.32.144.0,5.32.151.255,RU,,,
5.32.152.0,5.32.159.255,GB,,,
5.32.160.0,5.32.167.255,DE,,,
5.32.168.0,5.32.175.255,MD,,,
5.32.176.0,5.32.183.255,MK,,,
5.32.184.0,5.32.191.255,DE,,,
5.32.192.0,5.32.255.255,OM,,,
5.33.0.0,5.33.255.255,DK,,,
5.34.0.0,5.34.127.255,KZ,,,
5.34.128.0,5.34.159.255,ES,,,
5.34.160.0,5.34.167.255,PS,,,
5.34.168.0,5.34.175.255,IL,,,
5.34.176.0,5.34.183.255,UA,,,
5.34.184.0,5.34.191.255,IT,,,
5.34.192.0,5.34.223.255,IR,,,
5.34.224.0,5.34.231.255,DE,,,
5.34.232.0,5.34.239.255,NL,,,
5.34.240.0,5.34.247.255,EE,,,
5.34.248.0,5.34.255.255,LI,,,
5.35.0.0,5.35.175.255,RU,,,
5.35.176.0,5.35.183.255,NL,,,
5.35.184.0,5.35.191.255,SE,,,
5.35.192.0,5.35.199.255,OT,,,
5.35.200.0,5.35.207.255,ES,,,
5.35.208.0,5.35.215.255,RO,,,
5.35.216.0,5.35.223.255,ES,,,
5.35.224.0,5.35.255.255,DE,,,
5.36.0.0,5.37.255.255,OM,,,
5.38.0.0,5.38.127.255,AE,,,
5.38.128.0,5.38.255.255,HU,,,
5.39.0.0,5.39.127.255,OT,,,
5.39.128.0,5.39.159.255,HR,,,
5.39.160.0,5.39.167.255,RU,,,
5.39.168.0,5.39.175.255,NL,,,
5.39.176.0,5.39.183.255,GB,,,
5.39.184.0,5.39.191.255,NL,,,
5.39.192.0,5.39.199.255,PL,,,
5.39.200.0,5.39.207.255,RU,,,
5.39.208.0,5.39.215.255,ES,,,
5.39.216.0,5.39.223.255,NL,,,
5.39.224.0,5.39.239.255,FR,,,
5.39.240.0,5.39.247.255,DE,,,
5.39.248.0,5.39.255.255,GB,,,
5.40.0.0,5.40.255.255,ES,,,
5.41.0.0,5.41.255.255,RO,,,
5.42.0.0,5.42.127.255,RU,,,
5.42.128.0,5.42.135.255,GB,,,
5.42.136.0,5.42.143.255,DE,,,
5.42.144.0,5.42.151.255,IT,,,
5.42.152.0,5.42.159.255,FR,,,
5.42.160.0,5.42.191.255,RO,,,
5.42.192.0,5.42.223.255,IQ,,,
5.42.224.0,5.42.255.255,SA,,,
5.43.0.0,5.43.63.255,PT,,,
5.43.64.0,5.43.127.255,BA,,,
5.43.128.0,5.43.159.255,RU,,,
5.43.160.0,5.43.191.255,HR,,,
5.43.192.0,5.43.223.255,PS,,,
5.43.224.0,5.43.231.255,CZ,,,
5.43.232.0,5.43.239.255,IT,,,
5.43.240.0,5.43.247.255,RU,,,
5.43.248.0,5.43.255.255,IT,,,
5.44.0.0,5.44.15.255,RU,,,
